question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
"What is the largest planet in our solar system?","Earth","Jupiter","Saturn","Mars","B","Jupiter is the largest planet in our solar system","easy"
"Who painted the Mona Lisa?","Vincent van Gogh","Leonardo da Vinci","Pablo Picasso","Michelangelo","B","Leonardo da Vinci painted the Mona Lisa in the early 16th century","medium"
"What is the speed of light in a vacuum?","299,792 km/s","150,000 km/s","400,000 km/s","250,000 km/s","A","Light travels at approximately 299,792 kilometers per second in a vacuum","hard"
"What is H2O?","Hydrogen Peroxide","Water","Salt","Sugar","B","H2O is the chemical formula for water - two hydrogen atoms and one oxygen atom","easy"
"In which year did World War II end?","1943","1944","1945","1946","C","World War II ended in 1945 with the surrender of Germany and Japan","medium"
"What is the capital of Australia?","Sydney","Melbourne","Canberra","Brisbane","C","Canberra is the capital of Australia, located between Sydney and Melbourne","medium"
"How many continents are there?","5","6","7","8","C","There are seven continents: Africa, Antarctica, Asia, Europe, North America, Oceania, and South America","easy"
"What is the smallest unit of life?","Atom","Molecule","Cell","Organ","C","The cell is the smallest unit of life that can function independently","medium"
"Who wrote 'Romeo and Juliet'?","Charles Dickens","William Shakespeare","Jane Austen","Mark Twain","B","William Shakespeare wrote Romeo and Juliet, one of his most famous plays","easy"
"What is the freezing point of water in Celsius?","0°C","32°C","100°C","-10°C","A","Water freezes at 0°C or 32°F at standard atmospheric pressure","easy"
"What is the square root of 144?","10","11","12","13","C","The square root of 144 is 12 because 12 × 12 = 144","easy"
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn","B","Mars is known as the Red Planet due to iron oxide (rust) on its surface","easy"
"What is the largest ocean on Earth?","Atlantic Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean","D","The Pacific Ocean is the largest ocean, covering more than 30% of Earth's surface","medium"
"Who discovered penicillin?","Marie Curie","Alexander Fleming","Louis Pasteur","Isaac Newton","B","Alexander Fleming discovered penicillin in 1928, revolutionizing medicine","hard"
"What is the chemical symbol for gold?","Go","Gd","Au","Ag","C","Au is the chemical symbol for gold, from the Latin word 'aurum'","medium"
"How many bones are in the adult human body?","186","206","226","246","B","The adult human body has 206 bones","medium"
"What is the capital of Japan?","Osaka","Kyoto","Tokyo","Nagoya","C","Tokyo is the capital city of Japan and one of the world's largest metropolitan areas","easy"
"Who developed the theory of relativity?","Isaac Newton","Albert Einstein","Galileo Galilei","Stephen Hawking","B","Albert Einstein developed the theory of relativity in the early 20th century","medium"
"What is the longest river in the world?","Amazon River","Nile River","Yangtze River","Mississippi River","B","The Nile River is generally considered the longest river at about 6,650 km","medium"
"What is the boiling point of water at sea level?","90°C","95°C","100°C","105°C","C","Water boils at 100°C (212°F) at sea level atmospheric pressure","easy"
"Which element has the atomic number 1?","Helium","Hydrogen","Oxygen","Carbon","B","Hydrogen has atomic number 1 and is the lightest element","easy"
"What year did the Titanic sink?","1910","1911","1912","1913","C","The RMS Titanic sank on April 15, 1912 after hitting an iceberg","medium"
"What is the largest mammal in the world?","African Elephant","Blue Whale","Giraffe","Polar Bear","B","The blue whale is the largest mammal and the largest animal ever known","easy"
"How many sides does a hexagon have?","5","6","7","8","B","A hexagon is a polygon with six sides","easy"
"What is the smallest prime number?","1","2","3","5","B","2 is the smallest prime number and the only even prime number","medium"
"Which country is home to the kangaroo?","New Zealand","South Africa","Australia","Brazil","C","Kangaroos are native to Australia","easy"
"What is the hardest natural substance on Earth?","Gold","Iron","Diamond","Titanium","C","Diamond is the hardest naturally occurring substance on Earth","medium"
"How many planets are in our solar system?","7","8","9","10","B","There are 8 planets in our solar system since Pluto was reclassified","easy"
"What is the currency of the United Kingdom?","Euro","Dollar","Pound Sterling","Franc","C","The United Kingdom uses Pound Sterling (GBP) as its currency","easy"
"Who painted the ceiling of the Sistine Chapel?","Leonardo da Vinci","Michelangelo","Raphael","Donatello","B","Michelangelo painted the ceiling of the Sistine Chapel between 1508-1512","hard"
