"question","option_a","option_b","option_c","option_d","correct_answer","explanation","difficulty"
"What is the capital of France?","London","Paris","Berlin","Madrid","B","Paris is the capital and most populous city of France","easy"
"Who painted the Mona Lisa?","Vincent van Gogh","Leonardo da Vinci","Pablo Picasso","Michelangelo","B","Leonardo da Vinci painted the Mona Lisa between 1503 and 1519","easy"
"What is the largest planet in our solar system?","Earth","Mars","Jupiter","Saturn","C","Jupiter is the largest planet with a mass more than twice that of all other planets combined","easy"
"In which year did World War II end?","1943","1944","1945","1946","C","World War II ended in 1945 with the surrender of Germany in May and Japan in September","medium"
"What is the chemical symbol for gold?","Go","Gd","Au","Ag","C","Au is the chemical symbol for gold derived from the Latin word aurum","medium"
"Who wrote Romeo and Juliet?","Charles Dickens","William Shakespeare","Jane Austen","Mark Twain","B","William Shakespeare wrote Romeo and Juliet around 1594-1596","easy"
"What is the smallest country in the world?","Monaco","Vatican City","San Marino","Liechtenstein","B","Vatican City is the smallest country with an area of approximately 0.44 square km","medium"
"How many continents are there?","5","6","7","8","C","There are seven continents on Earth","easy"
"What is the speed of light?","299792 km/s","150000 km/s","400000 km/s","250000 km/s","A","The speed of light in a vacuum is approximately 299792 kilometers per second","hard"
"Who was the first person to walk on the Moon?","Buzz Aldrin","Yuri Gagarin","Neil Armstrong","John Glenn","C","Neil Armstrong was the first person to walk on the Moon on July 20 1969","medium"
"What is the largest ocean on Earth?","Atlantic Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean","D","The Pacific Ocean is the largest covering more than 30% of Earth surface","easy"
"How many bones are in the adult human body?","186","206","226","246","B","The adult human skeleton has 206 bones","medium"
"What is the boiling point of water at sea level?","90°C","95°C","100°C","105°C","C","Water boils at 100°C or 212°F at sea level atmospheric pressure","easy"
"Who invented the telephone?","Thomas Edison","Nikola Tesla","Alexander Graham Bell","Benjamin Franklin","C","Alexander Graham Bell patented the telephone in 1876","medium"
"What is the currency of Japan?","Yuan","Won","Yen","Ringgit","C","The official currency of Japan is the Japanese Yen","easy"
"Mount Everest is located in which mountain range?","Alps","Andes","Rockies","Himalayas","D","Mount Everest is part of the Himalayan mountain range on the border of Nepal and Tibet","medium"
"What is the hardest natural substance on Earth?","Gold","Iron","Diamond","Platinum","C","Diamond is the hardest naturally occurring substance known","medium"
"Who developed the theory of relativity?","Isaac Newton","Galileo Galilei","Albert Einstein","Stephen Hawking","C","Albert Einstein developed both the special and general theories of relativity","medium"
"What is the largest desert in the world?","Sahara","Arabian","Gobi","Antarctic","D","The Antarctic Desert is the largest desert though the Sahara is the largest hot desert","hard"
"How many players are on a football team?","9","10","11","12","C","A football team has 11 players on the field including the goalkeeper","easy"
"What is the longest river in the world?","Amazon River","Nile River","Yangtze River","Mississippi River","B","The Nile River is generally considered the longest at approximately 6650 km","medium"
"Who was the first President of the United States?","Thomas Jefferson","John Adams","George Washington","Benjamin Franklin","C","George Washington was the first President serving from 1789 to 1797","easy"
"What is the square root of 144?","10","11","12","14","C","The square root of 144 is 12 because 12 times 12 equals 144","easy"
"In which city is the Eiffel Tower located?","London","Rome","Paris","Berlin","C","The Eiffel Tower is located in Paris France and was completed in 1889","easy"
"What is the chemical formula for water?","H2O","CO2","O2","H2O2","A","Water has the chemical formula H2O with two hydrogen atoms and one oxygen atom","easy"
"How many days are in a leap year?","364","365","366","367","C","A leap year has 366 days with an extra day added to February","easy"
"What is the capital of Australia?","Sydney","Melbourne","Canberra","Brisbane","C","Canberra is the capital of Australia located between Sydney and Melbourne","medium"
"Who painted The Starry Night?","Claude Monet","Vincent van Gogh","Pablo Picasso","Salvador Dali","B","Vincent van Gogh painted The Starry Night in 1889 while in an asylum in France","medium"
"What is the largest mammal in the world?","African Elephant","Blue Whale","Giraffe","Polar Bear","B","The blue whale is the largest mammal and the largest animal ever known to exist","easy"
"How many sides does a hexagon have?","5","6","7","8","B","A hexagon is a polygon with six sides and six angles","easy"
"What element does O represent on the periodic table?","Osmium","Oxygen","Gold","Oganesson","B","O is the chemical symbol for Oxygen which is atomic number 8","easy"
"In which year did the Titanic sink?","1910","1911","1912","1913","C","The RMS Titanic sank on April 15 1912 after hitting an iceberg","medium"
"What is the capital of Spain?","Barcelona","Valencia","Madrid","Seville","C","Madrid is the capital and largest city of Spain","easy"
"How many strings does a standard guitar have?","4","5","6","7","C","A standard guitar has six strings typically tuned E-A-D-G-B-E","easy"
"What is the smallest prime number?","0","1","2","3","C","2 is the smallest prime number and the only even prime number","medium"
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn","B","Mars is known as the Red Planet due to iron oxide rust on its surface","easy"
"What is the tallest mountain in the world?","K2","Kilimanjaro","Mount Everest","Denali","C","Mount Everest is the tallest mountain at 8849 meters or 29032 feet above sea level","easy"
"Who wrote Harry Potter series?","J.R.R. Tolkien","C.S. Lewis","J.K. Rowling","Roald Dahl","C","J.K. Rowling wrote the Harry Potter series of seven books published between 1997-2007","easy"
"What is the main ingredient in guacamole?","Tomato","Avocado","Cucumber","Pepper","B","Avocado is the main ingredient in guacamole which is a Mexican dish","easy"
"How many teeth does an adult human have?","28","30","32","34","C","Most adults have 32 teeth including 4 wisdom teeth","easy"
"What is the freezing point of water in Fahrenheit?","0°F","32°F","100°F","212°F","B","Water freezes at 32°F or 0°C at standard atmospheric pressure","easy"
"Which country is home to the kangaroo?","New Zealand","South Africa","Australia","Brazil","C","Kangaroos are native to Australia and are a national symbol","easy"
"What does DNA stand for?","Deoxyribonucleic Acid","Digital Network Array","Dynamic Nucleic Acid","Diatomic Nitrogen Atom","A","DNA stands for Deoxyribonucleic Acid which carries genetic information","medium"
"How many minutes are in a full day?","1440","1200","1600","1000","A","There are 1440 minutes in a day which equals 24 hours times 60 minutes","medium"
"What is the largest country by land area?","Canada","China","United States","Russia","D","Russia is the largest country by land area covering over 17 million square km","medium"
"Who is known as the Father of Computers?","Steve Jobs","Bill Gates","Charles Babbage","Alan Turing","C","Charles Babbage is known as the Father of Computers for designing the first mechanical computer","hard"
"What percentage of Earth surface is covered by water?","50%","60%","71%","80%","C","Approximately 71% of Earth surface is covered by water mostly oceans","medium"
"What is the national animal of China?","Dragon","Tiger","Giant Panda","Snow Leopard","C","The Giant Panda is the national animal of China and a conservation icon","easy"
"How many time zones does Russia have?","5","7","9","11","D","Russia spans 11 time zones which is the most of any country in the world","hard"
"What is the most spoken language in the world by native speakers?","English","Spanish","Mandarin Chinese","Hindi","C","Mandarin Chinese has the most native speakers with over 900 million","medium"
